Student,Exam,TimeSlot,Room
1,Simulation,5,2
1,Control,3,1
1,Law,5,3
1,Quantum,1,4
2,Imaging,2,1
3,Math,8,4
3,Biology,3,5
3,Art,5,5
4,Optimization,6,2
4,Control,3,1
4,Art,5,5
4,Calculus1,6,4
5,Simulation,5,2
5,History,7,5
5,Quantum,1,4
5,Ecology,4,1
6,Geography,8,3
6,Music,1,2
6,Calculus3,3,4
6,Economics,6,3
6,Quantum,1,4
7,Math,8,4
7,Control,3,1
7,Biology,3,5
7,Music,1,2
7,Calculus1,6,4
7,Ecology,4,1
8,Math,8,4
8,Dynamic,5,4
8,Imaging,2,1
8,Physics,8,2
8,Music,1,2
9,Optimization,6,2
9,Music,1,2
9,Calculus2,7,3
10,Economics,6,3
11,Math,8,4
11,Sensor,1,3
11,Biology,3,5
11,English,6,1
11,Music,1,2
11,Marketing,2,2
11,Robotics,1,5
11,Ecology,4,1
12,Imaging,2,1
12,Chemistry,5,1
12,Computer,2,4
13,Astronomy,2,3
13,Chemistry,5,1
13,Law,5,3
13,Topology,7,4
13,Robotics,1,5
14,Control,3,1
14,Ecology,4,1
15,Optimization,6,2
15,Imaging,2,1
15,English,6,1
15,Music,1,2
15,Finance,7,2
15,Ecology,4,1
16,Geography,8,3
16,English,6,1
16,Music,1,2
16,Economics,6,3
16,Topology,7,4
16,Ecology,4,1
17,Sensor,1,3
17,Dynamic,5,4
17,Physics,8,2
17,Geography,8,3
17,Computer,2,4
17,Music,1,2
17,Calculus2,7,3
17,Sociology,8,5
18,Physics,8,2
18,Calculus1,6,4
18,Marketing,2,2
18,Topology,7,4
18,Robotics,1,5
18,Ecology,4,1
19,Economics,6,3
19,Quantum,1,4
20,Math,8,4
20,Dynamic,5,4
20,Music,1,2
20,Economics,6,3
20,Quantum,1,4
21,Optimization,6,2
21,Physics,8,2
21,Geography,8,3
22,Math,8,4
22,Imaging,2,1
22,Physics,8,2
22,Economics,6,3
23,Optimization,6,2
23,Control,3,1
23,Chemistry,5,1
23,Art,5,5
23,Calculus3,3,4
23,Finance,7,2
24,Control,3,1
24,Physics,8,2
24,Calculus2,7,3
25,English,6,1
25,Finance,7,2
25,Robotics,1,5
26,Statistics,4,3
26,History,7,5
26,Music,1,2
27,Math,8,4
27,Simulation,5,2
27,Astronomy,2,3
27,Sensor,1,3
27,Statistics,4,3
27,Chemistry,5,1
27,Calculus2,7,3
27,Topology,7,4
28,Math,8,4
28,Calculus1,6,4
28,Sociology,8,5
28,Ecology,4,1
29,English,6,1
29,Calculus2,7,3
29,Finance,7,2
30,Math,8,4
30,Simulation,5,2
30,Control,3,1
30,Statistics,4,3
30,Topology,7,4
30,Robotics,1,5
31,Astronomy,2,3
31,Chemistry,5,1
31,Biology,3,5
31,Geography,8,3
32,Astronomy,2,3
32,Calculus3,3,4
32,Law,5,3
32,Quantum,1,4
33,Calculus1,6,4
34,Economics,6,3
34,Robotics,1,5
34,Ecology,4,1
35,Sensor,1,3
35,Topology,7,4
36,Chemistry,5,1
36,Art,5,5
36,Calculus3,3,4
36,Marketing,2,2
36,Finance,7,2
37,Chemistry,5,1
37,Economics,6,3
37,Law,5,3
37,Topology,7,4
37,Quantum,1,4
37,Ecology,4,1
38,Geography,8,3
38,Calculus3,3,4
38,Marketing,2,2
38,Law,5,3
38,Topology,7,4
39,Optimization,6,2
39,Physics,8,2
39,Computer,2,4
39,Finance,7,2
39,Quantum,1,4
40,Statistics,4,3
40,Chemistry,5,1
40,Calculus2,7,3
40,Robotics,1,5
41,Sensor,1,3
41,Law,5,3
41,Quantum,1,4
42,Math,8,4
42,Calculus3,3,4
42,Law,5,3
42,Robotics,1,5
43,Sensor,1,3
43,Imaging,2,1
43,Chemistry,5,1
43,Art,5,5
43,Calculus2,7,3
44,Statistics,4,3
45,Sensor,1,3
45,Statistics,4,3
45,Art,5,5
45,Economics,6,3
45,Robotics,1,5
45,Ecology,4,1
46,Control,3,1
46,Chemistry,5,1
46,Biology,3,5
46,Topology,7,4
47,Simulation,5,2
47,Astronomy,2,3
47,Dynamic,5,4
47,Statistics,4,3
47,Biology,3,5
47,Computer,2,4
47,Topology,7,4
47,Quantum,1,4
48,Physics,8,2
48,Computer,2,4
48,Art,5,5
48,Music,1,2
48,Calculus2,7,3
48,Calculus3,3,4
49,Sensor,1,3
49,Geography,8,3
49,Computer,2,4
50,Physics,8,2
50,English,6,1
50,Music,1,2
50,Calculus2,7,3
50,Calculus3,3,4
50,Robotics,1,5
51,Physics,8,2
51,Sociology,8,5
51,Law,5,3
52,Sensor,1,3
52,Ecology,4,1
53,Control,3,1
53,Physics,8,2
53,Calculus2,7,3
54,Calculus2,7,3
54,Calculus3,3,4
54,Quantum,1,4
55,Sensor,1,3
55,Optimization,6,2
55,Imaging,2,1
55,Calculus1,6,4
55,Calculus3,3,4
55,Robotics,1,5
56,Control,3,1
56,Physics,8,2
56,Chemistry,5,1
57,Chemistry,5,1
57,Quantum,1,4
58,Simulation,5,2
58,Calculus2,7,3
58,Quantum,1,4
59,Math,8,4
59,History,7,5
59,Geography,8,3
59,Computer,2,4
59,Economics,6,3
60,Sensor,1,3
60,Control,3,1
60,English,6,1
60,Computer,2,4
60,Quantum,1,4
61,Sensor,1,3
61,History,7,5
61,Music,1,2
61,Calculus3,3,4
61,Economics,6,3
61,Topology,7,4
62,Astronomy,2,3
62,Dynamic,5,4
62,Art,5,5
62,Calculus3,3,4
62,Topology,7,4
63,Sensor,1,3
63,Calculus2,7,3
63,Economics,6,3
64,Sensor,1,3
64,Calculus1,6,4
64,Topology,7,4
65,Astronomy,2,3
65,Art,5,5
65,Calculus3,3,4
65,Finance,7,2
66,Optimization,6,2
66,Calculus1,6,4
66,Calculus3,3,4
67,Astronomy,2,3
67,Statistics,4,3
67,Physics,8,2
67,Biology,3,5
67,Computer,2,4
67,Law,5,3
67,Topology,7,4
68,Imaging,2,1
68,Computer,2,4
68,Law,5,3
68,Quantum,1,4
69,Simulation,5,2
69,Control,3,1
69,Physics,8,2
69,Law,5,3
69,Ecology,4,1
70,Sensor,1,3
70,Control,3,1
70,Imaging,2,1
70,Statistics,4,3
70,Art,5,5
70,Sociology,8,5
70,Quantum,1,4
71,Astronomy,2,3
71,Calculus1,6,4
71,Marketing,2,2
72,Simulation,5,2
72,Music,1,2
72,Calculus3,3,4
72,Finance,7,2
73,Statistics,4,3
73,Geography,8,3
73,Computer,2,4
73,Law,5,3
74,Astronomy,2,3
74,Imaging,2,1
74,Law,5,3
75,Simulation,5,2
75,Astronomy,2,3
75,Sensor,1,3
75,Physics,8,2
75,History,7,5
75,Economics,6,3
75,Quantum,1,4
76,Control,3,1
76,Computer,2,4
76,Calculus3,3,4
76,Law,5,3
76,Quantum,1,4
77,Control,3,1
77,Chemistry,5,1
77,Economics,6,3
77,Marketing,2,2
77,Finance,7,2
77,Law,5,3
77,Ecology,4,1
78,Imaging,2,1
78,Geography,8,3
78,Calculus3,3,4
78,Topology,7,4
79,Sensor,1,3
79,History,7,5
79,Marketing,2,2
80,Astronomy,2,3
80,Control,3,1
80,Chemistry,5,1
80,Finance,7,2
80,Ecology,4,1
81,Sensor,1,3
81,Calculus3,3,4
81,Ecology,4,1
82,Astronomy,2,3
82,Sensor,1,3
82,Statistics,4,3
82,Physics,8,2
82,Chemistry,5,1
82,Biology,3,5
82,Geography,8,3
82,Ecology,4,1
83,Simulation,5,2
83,Astronomy,2,3
83,Statistics,4,3
83,English,6,1
83,Music,1,2
83,Sociology,8,5
83,Quantum,1,4
84,Statistics,4,3
84,Physics,8,2
84,Chemistry,5,1
84,English,6,1
85,Sensor,1,3
85,Dynamic,5,4
85,Control,3,1
85,Marketing,2,2
85,Finance,7,2
86,Physics,8,2
86,Calculus2,7,3
86,Quantum,1,4
86,Ecology,4,1
88,Sensor,1,3
88,Statistics,4,3
88,English,6,1
89,Astronomy,2,3
89,Physics,8,2
89,Calculus2,7,3
89,Calculus3,3,4
89,Quantum,1,4
90,Math,8,4
90,Biology,3,5
90,Geography,8,3
90,Robotics,1,5
91,Math,8,4
91,Sensor,1,3
91,Calculus3,3,4
91,Economics,6,3
91,Quantum,1,4
92,Sensor,1,3
92,Statistics,4,3
92,Calculus1,6,4
92,Economics,6,3
92,Topology,7,4
92,Ecology,4,1
93,Sensor,1,3
93,Control,3,1
93,Geography,8,3
93,Music,1,2
93,Finance,7,2
93,Law,5,3
94,Imaging,2,1
94,Statistics,4,3
94,History,7,5
95,Sensor,1,3
95,Biology,3,5
95,Geography,8,3
95,Calculus1,6,4
95,Finance,7,2
96,Simulation,5,2
96,Law,5,3
97,Dynamic,5,4
97,History,7,5
97,Geography,8,3
97,Computer,2,4
97,Calculus3,3,4
97,Ecology,4,1
98,Simulation,5,2
98,Astronomy,2,3
98,Chemistry,5,1
98,Art,5,5
98,Sociology,8,5
99,Astronomy,2,3
99,Imaging,2,1
99,Art,5,5
99,Sociology,8,5
99,Ecology,4,1
100,Astronomy,2,3
100,Sensor,1,3
100,Optimization,6,2
100,Control,3,1
100,Geography,8,3
100,Calculus3,3,4
100,Economics,6,3
101,Control,3,1
101,Physics,8,2
101,Geography,8,3
101,Computer,2,4
101,Law,5,3
101,Quantum,1,4
102,Simulation,5,2
102,Astronomy,2,3
102,Sensor,1,3
102,Statistics,4,3
102,Geography,8,3
102,Economics,6,3
103,Math,8,4
103,Imaging,2,1
103,Computer,2,4
103,Calculus1,6,4
103,Calculus3,3,4
103,Economics,6,3
104,Math,8,4
104,Astronomy,2,3
104,Optimization,6,2
104,Statistics,4,3
104,Calculus3,3,4
104,Robotics,1,5
105,Calculus1,6,4
105,Economics,6,3
105,Sociology,8,5
105,Finance,7,2
106,Chemistry,5,1
106,Geography,8,3
106,Computer,2,4
106,Music,1,2
107,Astronomy,2,3
107,Ecology,4,1
108,Imaging,2,1
108,Music,1,2
108,Calculus1,6,4
108,Law,5,3
109,Sensor,1,3
109,Statistics,4,3
109,History,7,5
109,Art,5,5
109,Music,1,2
109,Sociology,8,5
109,Quantum,1,4
109,Ecology,4,1
110,Control,3,1
110,Statistics,4,3
110,Economics,6,3
111,Astronomy,2,3
111,Chemistry,5,1
112,Calculus1,6,4
112,Sociology,8,5
113,Math,8,4
113,Astronomy,2,3
113,Statistics,4,3
113,Geography,8,3
113,Economics,6,3
113,Marketing,2,2
113,Topology,7,4
113,Quantum,1,4
114,Astronomy,2,3
114,Chemistry,5,1
115,Math,8,4
115,Imaging,2,1
115,Chemistry,5,1
116,Astronomy,2,3
116,Statistics,4,3
116,Chemistry,5,1
116,Topology,7,4
117,Astronomy,2,3
117,Chemistry,5,1
117,History,7,5
118,Simulation,5,2
118,Geography,8,3
118,Calculus1,6,4
118,Finance,7,2
118,Robotics,1,5
119,Math,8,4
119,Control,3,1
119,Calculus2,7,3
119,Quantum,1,4
120,Simulation,5,2
120,Physics,8,2
120,Calculus2,7,3
120,Quantum,1,4
120,Ecology,4,1
121,Simulation,5,2
121,Chemistry,5,1
121,Computer,2,4
121,Art,5,5
121,Calculus3,3,4
121,Sociology,8,5
121,Finance,7,2
122,Physics,8,2
122,Art,5,5
122,Calculus1,6,4
122,Economics,6,3
122,Quantum,1,4
123,Control,3,1
123,Calculus3,3,4
123,Law,5,3
123,Ecology,4,1
124,Control,3,1
124,Imaging,2,1
124,Music,1,2
124,Calculus1,6,4
124,Ecology,4,1
125,Math,8,4
125,Optimization,6,2
125,Biology,3,5
125,Calculus3,3,4
125,Topology,7,4
125,Ecology,4,1
126,Math,8,4
126,Chemistry,5,1
126,Economics,6,3
126,Sociology,8,5
127,Economics,6,3
127,Finance,7,2
128,Math,8,4
128,Astronomy,2,3
128,Dynamic,5,4
128,Control,3,1
128,Statistics,4,3
128,Chemistry,5,1
128,Calculus2,7,3
128,Calculus3,3,4
128,Topology,7,4
129,Astronomy,2,3
129,Physics,8,2
129,Chemistry,5,1
129,Topology,7,4
130,Imaging,2,1
130,Chemistry,5,1
130,Calculus1,6,4
130,Calculus3,3,4
130,Topology,7,4
131,Statistics,4,3
131,Computer,2,4
131,Law,5,3
131,Ecology,4,1
132,Math,8,4
132,Simulation,5,2
132,Control,3,1
132,Imaging,2,1
132,Finance,7,2
132,Law,5,3
132,Quantum,1,4
133,Statistics,4,3
133,Calculus1,6,4
133,Sociology,8,5
133,Finance,7,2
133,Law,5,3
133,Topology,7,4
134,Optimization,6,2
134,Marketing,2,2
134,Quantum,1,4
134,Robotics,1,5
135,Simulation,5,2
135,Astronomy,2,3
135,Statistics,4,3
135,History,7,5
135,Geography,8,3
135,Calculus3,3,4
136,Astronomy,2,3
136,Optimization,6,2
136,Statistics,4,3
136,Physics,8,2
136,Biology,3,5
136,Music,1,2
136,Calculus1,6,4
136,Calculus3,3,4
137,Math,8,4
137,Optimization,6,2
137,Dynamic,5,4
137,Imaging,2,1
137,Biology,3,5
137,English,6,1
137,Ecology,4,1
138,Simulation,5,2
138,Music,1,2
138,Calculus1,6,4
138,Calculus2,7,3
138,Economics,6,3
138,Topology,7,4
138,Ecology,4,1
139,Sensor,1,3
139,Control,3,1
139,Statistics,4,3
139,History,7,5
139,Calculus1,6,4
139,Sociology,8,5
139,Quantum,1,4
140,Astronomy,2,3
140,Calculus3,3,4
140,Economics,6,3
141,Astronomy,2,3
141,Control,3,1
141,Calculus3,3,4
142,Astronomy,2,3
142,Optimization,6,2
142,Statistics,4,3
142,Geography,8,3
142,Music,1,2
142,Topology,7,4
143,Sensor,1,3
143,Dynamic,5,4
143,Physics,8,2
143,Calculus1,6,4
144,Astronomy,2,3
144,Chemistry,5,1
144,Geography,8,3
144,Topology,7,4
145,Control,3,1
145,Computer,2,4
145,Calculus3,3,4
145,Topology,7,4
146,Simulation,5,2
146,Astronomy,2,3
147,Math,8,4
147,Biology,3,5
147,Economics,6,3
147,Sociology,8,5
147,Quantum,1,4
148,Biology,3,5
148,Geography,8,3
148,Law,5,3
148,Quantum,1,4
149,Control,3,1
149,Geography,8,3
149,English,6,1
149,Calculus1,6,4
149,Calculus2,7,3
149,Calculus3,3,4
149,Economics,6,3
149,Topology,7,4
149,Quantum,1,4
150,Math,8,4
150,Statistics,4,3
150,English,6,1
150,Computer,2,4
150,Economics,6,3
150,Finance,7,2
150,Law,5,3
